id,name,sex,age,year,type,genre,work,listener,uploads,duration
klheu,Klaas Heufer Umlauf,2,4,,1,,1,,,
jalun,Jakob Lundt,2,4,,1,,9,,,
thschm,Thomas Schmitt,2,5,,1,,9,,,
stbum,Studio Bummens,,,,3,,,,,
flmbh,Florida Entertainment GmbH,,,,3,,,,,
story,Starwatch Podcast Factory,,,,4,,,,,
balin,Baywatch Berlin,,,5,2,1,,,3,
lalin,Late Night Berlin,,,,2,1,,,,
duelt,Duell um die Welt,,,,2,1,,,,
cilli,Circus Halligalli,,,,2,1,,,,
vimbh,Viva Media GmbH,,,,3,,,,,
neise,NeoParadise,,,,2,1,,,,
mtome,MTV Home,,,,2,,,,,
prben,Pro Sieben,,,,3,,,,,
zdneo,ZDF Neo,,,,3,1,,,,
dielt,Die beste Show der Welt,,,,2,1,,,,
joben,Joko u Klaas gegen ProSieben,,,,2,1,,,,
neale,Neo Magazine Royale,,,,2,1,,,,
zdf,ZDF ,,,,3,,,,,
babie,Bastian Bielendorfer,2,4,,1,,4,,,
oesar,Özcan Cosar,2,5,,1,,5,,,
liava,1Live Bratwurst und Baklava,,,5,2,1,,,3,
weunk,Westdeutscher Rundfunk,,,,3,,,,,
elive,EinsLive,,,,3,,,,,
hahow,Harald Schmid Show,,,,2,1,,,,
sky,Sky,,,,3,,,,,
diehn,Die tierischen Zehn,,,,2,,,,,
vox,Vox,,,,3,,,,,
wiiso,Wissenmagazin Wiso,,,,2,,,,,
eicks,EinsLive Hacks,,,,2,,,,,
alsch,Alliteration am Arsch,,,,2,,,,,
alnen,Alle gegen Einen,,,,2,,,,,
biwdr,Bielendorfer im WDR,,,,2,,,,,
wdr,WDR,,,,3,,,,,
lence,Lets dance,,,,2,,,,,
poehn,podcast null acht siebzehn,,,,2,,,,,
rtl,Rtl,,,,3,,,,,
dihow,Die Cosar Show,,,,2,,,,,
swr,SWR,,,,3,,,,,
hobby,hobbylos,,,5,2,1,,,3,6
rezo,rezo,2,2,,1,,3,,,
jubam,julien bam,2,3,,1,,3,,,
spstu,spotify studios,,,,3,,,,,
youmc,you media consulting,,,,3,,,,,
resto,rezo stoert,,,,,,,,,
bggng,beginner gegen gewinner,,,,,,,,,
jaboe,jan boehmermann,2,,,,,,,,
neomr,neo magazin royale,,,,,,,,,
zapp,zapp,,,,,,,,,
ndr,ndr fernsehen,,,,,,,,,
zdf,ZDF,,,,,,,,,
rdpre,richard david precht,2,,,,,,,,
precht,precht,,,,,,,,,
chame,christoph amend,2,,,,,,,,
joweg,jochen wegner,2,,,,,,,,
alges,alles gesagt,,,,,,,,,
satfr,sat eins fruestuecksfernsehen,,,,,,,,,
modan,masters of dance,,,,,,,,,
evere,everest ein yeti will hoch hinaus,,,,,,,,,
sonic,sonic the hedgehog,,,,,,,,,
thevk,the voice kids,,,,,,,,,
satei,sat eins,,,,,,,,,
jauar,jay und arya,,,4,2,1,,,3,4
jasam,jay samuelz,2,,,1,,3,,,
arlee,arya lee,2,,,1,,3,,,
aini,gemeinsames lied auf youtube,,,,,,,,,
saruec,Sabine Rückert,1,9,,1,,2,,,
ansen,Andreas Sentker,2,8,,1,,2,,,
zever,Zeit Verbrechen,,,4,2,3,,,4,
zeonl,ZEIT Online,,,,3,,,,,
pakra,Paulina Krasa,1,3,,1,,2,,,
lawoh,Laura Wohlers,1,2,,1,,2,,,
molus,Mordlust,,,4,2,3,,,4,
stbum,Studio Bummens,,,,3,,,,,
vivie,Visa Vie,1,,,1,,,,,
inani,Ines Anioli,1,,,1,,5,,,
wecri,Weird Crimes,,,,2,3,,,4,
funk,FUNK,,,,4,,,,,
wozei,Wochenzeitung DIE Zeit,,,,2,,,,,
zewis,Zeit Wissen Magazin,,,,2,,,,,
