id,name,type,medium,sex,ybirth,work,study,genre,oeffentlichprivat,year
tocoo,Thomas Cook Group,2,99,99,99,99,99,99,99,99
timan,TiQuest Management GbR,2,99,99,99,99,99,99,99,99
jopil,Joerg Pilawa,1,99,2,7,99,3,99,99,99
daers,Das Erste,2,6,99,99,99,99,99,1,99
kapfl,Kai Pflaume,1,99,2,7,99,3,99,99,99
zeverma,Zeit Vebrechen Magazin,2,4,99,99,99,99,3,2,99
sctag,Schwaebisches Tagblatt,2,5,99,99,99,99,2,2,99
stzei,Stuttgarter Zeitung,2,5,99,99,99,99,2,2,99
ditag,die tageszeitung,2,5,99,99,99,99,2,2,99
zedoc,Zeit Doctor Magazin,2,4,99,99,99,99,99,2,99
bild,BILD,2,5,99,99,99,99,2,2,99
unpfa,Die Zeit – Unter Pfarrerstöchtern,2,1,99,99,99,99,10,2,99
johab,Johanna Haberer,1,99,1,8,10,3,99,99,99
skin,Skip Intro Podcast,2,1,99,99,99,99,10,1,99
mezib,Magazinsendung Zibb,2,6,99,99,99,99,2,1,99
rafri,Radiosender Fritz,2,3,99,99,99,99,2,1,99
wwwoh,Youtubeshow World Wide Wohnzimmer,2,2,99,99,99,99,12,1,99
brnex,Radiosender Bremen Next,2,3,99,99,99,99,2,1,99
1live,Radiosender 1Live,2,3,99,99,99,99,2,1,99
scusue,Schuld und Sühne Youtube,2,2,99,99,99,99,3,1,99
